Player,MP,3PA,3P%,2PA,2P%,eFG%,FTA,FT%,ORB,DRB,BLK,TOV,PS/G,% FG 3PT,%PTS 2PT MR,%PTS PITP,FGM %UAST,Drive FGA,Drive FG%,Drive PASS,Drive PASS%,SCREEN assists,DEFLECTIONS,LOOSE BALLS recovered,CHARGES drawn,C&S 3PA,C&S 3P%,C&S EFG%,AST PTS created,TOUCHES,TIME OF Pos,ELBOW touches,POST touches,PTS PER Elbow,PTS PER post,AVG SPEED OFF,AVG SPEED DEF
Kevin Durant,33.4,5,0.375,11.5,0.608,0.594,6.2,0.875,0.6,7.6,1.6,2.2,25.1,15.8,21.6,40,38.3,2.4,63.9,0.6,13.9,1,2.2,0.9,0.05,3.4,42.5,63.7,12,61.1,2.5,3.3,1.9,0.593,1.069,4.54,3.51
Wayne Ellington,24.2,6.4,0.378,2.6,0.509,0.55,0.7,0.86,0.3,1.8,0.1,0.5,10.5,17.3,5.7,8,13,0.2,50,0.3,59.4,0.2,1.1,0.7,0,4.9,38.3,56.6,2.8,28,0.7,1.1,0.3,0.627,0.375,4.59,3.88
Monta Ellis,27,1.8,0.319,5.7,0.483,0.482,1.7,0.727,0.3,2.5,0.4,1.8,8.5,21.3,14.8,43.5,57.9,2.1,51.9,1.6,35.3,0.1,2.2,1,0.11,1.5,32.1,47.4,7.7,41.6,2,0.9,0.6,0.238,0.419,4.35,3.81
James Ennis,23.5,2.1,0.372,2.9,0.516,0.534,1.7,0.782,1.1,3,0.3,0.9,6.7,3.7,20,40.6,26.7,0.7,38.3,0.3,21.6,0.4,1.5,0.8,0.03,1.8,38.1,55,2.5,24.7,0.7,0.5,0.9,0.258,0.8,4.42,4.15
Dante Exum,18.6,2.3,0.295,3.2,0.519,0.488,1.1,0.795,0.5,1.5,0.2,1.2,6.2,3.4,14.1,50.5,49.7,2.1,51.8,1.3,30.8,0.2,0.8,0.7,0.03,1.9,33.1,50,4,33.4,2,0.3,0.6,0.111,0.789,4.56,4.14
Kenneth Faried,21.2,0.1,0,6.7,0.556,0.548,3.1,0.693,3,4.6,0.7,1,9.6,2.4,22.3,75.3,37.3,0.2,50,0,7.7,1.8,1.2,0.7,0.33,0.1,0,20.8,2.2,31.6,0.7,1.2,3.8,0.5,0.943,4.56,3.9
Cristiano Felicio,15.8,0,0,3.3,0.579,0.579,1.4,0.645,1.9,2.8,0.3,0.5,4.8,6.3,19,74.7,35.2,0.2,30,0,20,2,0.6,0.5,0,0,0,30.8,1.6,23.2,0.5,1.6,1.9,0.132,1.048,4.52,3.97
Raymond Felton,21.3,1.8,0.319,4.6,0.473,0.475,0.8,0.781,0.4,2.3,0.3,1,6.7,19,9.3,46.1,65.2,2.2,49.7,1,27.8,0.1,1.8,0.8,0.01,1.1,35.7,53.4,5.8,42.2,2.7,0.3,0.4,0.074,0.172,4.29,4.14
Dorian Finney-Smith,20.3,2.4,0.293,1.8,0.479,0.456,0.8,0.754,0.7,2.1,0.3,0.6,4.3,4.6,13.1,34.3,21,0.6,39.2,0.5,35,0.2,1.1,0.4,0,2.3,30,44.4,2.3,24.6,0.6,0.3,0.6,0.148,0.959,4.46,4.1
Evan Fournier,32.9,5.3,0.356,8.4,0.491,0.508,4.1,0.805,0.6,2.4,0.1,2.1,17.2,8.9,19.1,39.1,41.2,3.7,49,1.8,27,0.4,2,1.2,0.06,3.7,37.2,54.3,6.9,47.1,2.2,1.2,0.8,0.488,1.111,4.64,3.88
Randy Foye,18.6,2.9,0.33,1.8,0.418,0.466,0.9,0.857,0.1,2.1,0.1,1.2,5.2,4.5,15.1,24.1,45.8,1.1,43.6,1.1,42.1,0.1,0.9,0.5,0.04,1.9,36.2,53,5,31.1,1.7,0.1,0.3,0.222,0.2,4.4,3.84
Tim Frazier,23.5,2,0.313,4.2,0.446,0.453,2,0.76,0.5,2.1,0.1,1.6,7.1,12.9,21.1,40.1,64.4,1.9,46.4,1.8,39.1,0.2,1.7,0.8,0.17,0.9,31.1,43,11.8,57.9,4.2,0.3,0.7,0.105,0.354,4.7,3.9
Channing Frye,18.9,4.5,0.409,2.5,0.546,0.589,1,0.851,0.5,3.4,0.5,0.7,9.1,12.7,9.3,17.2,7.1,0.3,52.4,0.1,21.9,1.4,0.8,0.2,0.04,4.3,41.8,61.5,1.6,33.3,0.7,1.2,1.3,0.267,0.896,4.2,3.53
Danilo Gallinari,33.9,5.1,0.389,6.8,0.491,0.531,6.1,0.902,0.6,4.5,0.2,1.3,18.2,13.8,30.5,22.7,32.8,1.5,55.6,0.7,22.5,0.3,1.1,0.8,0.13,4.2,40.9,57.6,5,49.5,1.9,1.2,2,0.583,1.05,4.43,3.52
Langston Galloway,20.2,4.2,0.39,3.2,0.367,0.49,0.9,0.797,0.4,1.7,0.1,0.6,7.9,18.5,8.7,11.3,27.5,0.6,28.6,0.1,17.5,0.1,1.4,0.6,0.03,3.4,42.7,61.4,3.1,29.8,1.4,0.7,0.3,0.275,0.1,4.5,3.91
Marc Gasol,34.2,3.6,0.388,12.1,0.48,0.503,4.5,0.837,0.8,5.5,1.3,2.2,19.5,22.3,19.2,36.9,35,1,51.4,0.2,15.5,3,1.7,0.7,0.05,3.4,39.6,51.3,11.2,74.5,2.4,10.9,5.4,0.24,0.701,3.81,3.36
Pau Gasol,25.4,1.6,0.538,7.8,0.494,0.548,2.9,0.707,1.7,6.2,1.1,1.3,12.4,24.2,16.4,38.1,27.1,0.7,48.9,0,4.8,2.6,0.8,0.4,0,1.6,54.4,61.4,5.5,55.7,1.3,4.5,3,0.248,0.813,4.34,3.7
Paul George,35.9,6.6,0.393,11.4,0.501,0.534,5,0.898,0.8,5.8,0.4,2.9,23.7,26.7,18.9,21.4,48.7,2.2,49.7,2,37.6,0.6,3.2,1.4,0.09,4.8,42,60.1,8.1,62.7,3.1,3.3,0.9,0.48,0.844,4.45,3.81
Taj Gibson,25.5,0.2,0.231,8.9,0.52,0.517,2,0.715,2,4.2,0.8,1.3,10.8,13.9,13.4,71.6,34.2,0.3,47.6,0.1,21.2,1.3,0.9,0.6,0.03,0.2,23.1,37.8,2.2,50.8,1.2,3.2,4.7,0.371,0.841,4.41,3.79
Manu Ginobili,18.7,3.3,0.392,3.1,0.387,0.491,1.6,0.804,0.4,1.9,0.2,1.4,7.5,5.4,16.6,26.3,37.4,1.4,44.3,0.8,30.5,0.3,2.1,0.8,0.14,2.4,39.1,55.7,6.4,32,1.4,0.5,0.4,0.235,0.633,4.43,3.72
Rudy Gobert,33.9,0,0,7.7,0.662,0.661,5.9,0.653,3.9,8.9,2.6,1.8,14,0.4,27.4,72.3,25.9,0.3,47.6,0.1,22.7,6.2,1.6,0.6,0.02,0,0,50,3,61.6,1.4,4.6,6.3,0.137,1.1,4.53,3.84
Aaron Gordon,28.7,3.3,0.288,7.5,0.528,0.499,2.7,0.719,1.5,3.6,0.5,1.1,12.7,13.5,15.3,48.5,43,1.4,43.2,0.6,24,0.5,1.4,0.7,0.06,2.4,31.2,45.2,4.5,39.6,1.4,1,2.4,0.5,0.968,4.83,3.98
Eric Gordon,31,8.8,0.372,4.7,0.468,0.527,2.3,0.84,0.4,2.3,0.5,1.6,16.2,2.5,12.1,24.8,31.8,2.9,45.9,1.3,25.5,0.2,1.2,0.7,0.04,6.6,36.4,54.7,6.1,41.1,1.5,1.1,0.4,0.39,0.69,4.31,3.61
Marcin Gortat,31.2,0,0,8.2,0.58,0.579,1.9,0.648,2.9,7.5,0.7,1.5,10.8,10.2,11.7,78.1,29,0,100,0,33.3,6.2,1,0.6,0.2,0,0,34.3,3.7,47.8,1,3.3,5.6,0.204,0.985,4.42,3.78
Jerami Grant,19.1,1.5,0.371,2.7,0.514,0.529,1.8,0.612,0.5,2.1,1,0.6,5.5,5.5,20.6,44.4,25.7,0.9,55.7,0.4,21.3,0.4,1,0.3,0.06,1.4,39.4,55.7,1.4,23.7,0.5,0.6,0.7,0.523,1,4.6,3.91
Jerian Grant,16.3,2.1,0.366,2.7,0.473,0.507,1.2,0.89,0.3,1.5,0.1,0.7,5.9,15.7,17.6,27,52.3,1,46.8,0.9,41.9,0.1,1.3,0.5,0.03,1.5,35.1,54.1,4.2,28,1.8,0.2,0.3,0.308,0.429,4.32,4.05
Danny Green,26.6,4.6,0.379,2,0.42,0.523,0.5,0.844,0.5,2.8,0.8,1.1,7.3,6,5.4,17.3,18.8,0.6,37.5,0.7,43.3,0.2,2.6,0.5,0.03,3.8,39.7,58.7,4.1,39.2,1.2,0.5,0.2,0.118,1,4.74,4.13
Draymond Green,32.5,3.5,0.308,5.1,0.494,0.481,2.8,0.709,1.3,6.6,1.4,2.4,10.2,1.8,19.5,47.4,21,1.2,26.1,0.6,27.2,2.3,3.9,1.2,0.17,3.3,32,47.3,16.8,75.8,2.5,2.6,2.4,0.135,0.749,4.32,3.49
JaMychal Green,27.3,1.9,0.379,4.6,0.549,0.555,2.2,0.802,2.2,4.9,0.4,1.2,8.9,13.6,19.4,43,31.6,0.4,48.1,0.1,16.7,1,1.5,0.5,0.16,1.7,40.9,60.4,2.6,42.6,0.9,1.6,2.1,0.224,0.951,4.38,3.96
Jeff Green,22.2,2.8,0.275,5.3,0.458,0.442,2.4,0.863,0.6,2.5,0.2,1.1,9.2,15.4,22.7,37,44.1,1.4,40.8,0.3,13.1,0.7,1,0.5,0.09,2.2,29.3,43.4,2.8,33.1,1.1,0.7,0.9,0.378,0.983,4.12,3.68
Blake Griffin,34,1.9,0.336,14.1,0.514,0.513,6.9,0.76,1.8,6.3,0.4,2.3,21.6,21,24.3,46,46.3,2,51.7,0.9,21.9,2.6,1.7,1.4,0.15,1.4,35.2,46.1,12,80.2,3,7,3.5,0.337,0.709,3.96,3.54
